,tweet
343,right that's what I'm sayin but there reasons are if she's depressed & sad and needs someone to talk too would you be okay or be
344,"it was horrible, I couldn't sleep and was constantly anxious and depressed but thankfully my parents took it as gracefully as they could"
345,i try not to...doctor said avoid thinking about things that could make me depressed or anxious.
346,I choose not to be depressed but look forward to whatever is coming next #faithnotfear
347,Niggas thought I was tryna be mysterious or some shit in high school like I didn't have terrible anxiety and wasn't constantly depressed
348,Feeling lonely & very depressed😢😢😩
349,halloween was my favorite holiday. this is so sad it doesn't even feel like halloween. i've been so depressed lately. nothing has felt right
350,Srsly there's so much drama on youtube why do I feel like a sad depressed rich person with two kids named Charles and Goliath age 13 and 9.
351,Yesterday with bessy Me*depressed mode*: Pat ang liit ko ga *super sad*  Bessy: WHAHAHAHA   😭😭😭
352,@WoundedWarblerx // from what I seen your Blaine as been depressed for this Roleplay// -sighs and takes care of the twins alone-
353,another depressed mothafucka nobody gives a shit about #suicideboys #g59 #schema
354,Studies show that people who are lonely and/or depressed are more likely to sleep with multiple pillows.
355,I went through this really sad/depressed stage of life last year and all I listened to was the new Fall Out Boy album and I can't even hear
356,Studies show that people who are lonely and/or depressed are more likely to sleep with multiple pillows.
357,"@priscillaalyse well she ain't THIS friend!!!! I would be sad, like depressed, not wanting to get out of bed 😭😭 yes I'm selfish!!! Lol"
358,ok I'm really depressed my dress is going to take 20 days to get here so looks like I'm wearing it for sadies 😂😂😂
359,"you sad anyways? you just experienced one of the best days of your life. you shouldnt be bragging about being ""depressed"" you should be"
360,My friend wanna come get me to smoke because of my car but I'm depressed sad don't wanna move
361,To be depressed is to be lonely; to have a friend is to be happy�- Guido #quote
362,"@spikelynch might it be that when you notice them when depressed, rather than ignore them you tend to worry instead?"
363,I been lowkey depressed lately.. Idk why I just feel sad and shit.
364,I prob gain the most weight when I'm depressed or sad lol
365,"""@Fames: im not sad or depressed, im kinda just in between."""
366,I will live my life just being depressed and sad all time... Nothing can make it better
367,@Lygiee you would be sad and depressed 💁
368,It's nice like these I get all sad and depressed
369,"no, the depression and sadness will continue into the new year and beyond x"
370,Every year I tell myself that time is just a concept yet every year I fall into depression near NYE. What am I fearing? Life is already shit
371,Honestly people truly need to grow a backbone and stop faking depression 🚮🙄like nigga why u playing fake sad 😭
372,"I have bad days with depression; take care of yourself, but it's also important to reach out. Don't suffer alone. 💖"
373,"Someone: I know you're sad... bUT HOW CAN U BE SAD LOOKING AT THIS KITTEN! Me: I like it, I still have depression. S: *crying* but KITTEN??"
374,@Jack_Septic_Eye I want to say thank you...you have helped me through thoughts of suicide...you have helped me with depression thank you
375,"This year moved from hope to depression, then anger, now acceptance about the future, with determination to amplify what's left that's good."
376,A good friend would understand that depression is a thing and sometimes people want to be alone it's not something personal
377,Glad the way eastenders is doing Lee's storyline #Awareness #depression #yournotalone
378,#facebook #depression I am legitimately afraid of using social media. Too neurotic.
379,"Well done @bbceastenders on the story of male depression and suicide, a story that will make others aware and understand #yournotalone 💗"
380,all im saying is if depression is a joke and suicide is the punchline then im abt to make you all laugh
381,"I end up needing to clean when anxious. I get overwhelmed at the slightest clutter, so when depression is low, I clean excessively"
382,I just depression-anger ate a half container of vanilla icing... it didn't help.
383,"They're in the 3rd stage of grief right now. Soon they'll enter the 4th, depression, and quiet down 😂"
384,"I deal with depression, suicidal ideation, #PTSD, & #DID as a result of abuse & torture. I have support. I am healing. #InHonorofCarrie"
385,I'm getting really tired of this depression trying to arise and ruin my day. Leave me alone. I don't to think and I don't want to feel.
386,And i hate it so much. I just wanted a normal year not a year wuth love and depression again. I prefer to be alone next year bc-
387,Thanks 4 the mention #mentalillness #psychology #education #depression #anxietyawareness
388,Me and earl and the dying girl.... This movie has put me into a depression.  This movie is so sad  wtf I hate cancer with a passion
389,"5/ I'm all for getting up and going for a walk or a coffee whenever you think it will cheer you up, but depression is different from sadness"
390,Being diagnosed with depression was hard and it took me a long time to understand that it doesn't make we weird and I'm not alone
391,"Hey, I suffer from depression myself, so I know the struggle is real."
392,I recently found out that somebody I know has committed suicide & I'm heartbroken. There are no words to describe how horrific depression is
393,*goes on youtube*  WHY do I watch the youtubers that are always sad... I love them but my feed is full of depression.  #youtube
394,Srsly hats off to Eastenders for making an episode about depression and male suicide ppl need to realise it effects men too
395,"Seldom watch #EastEnders anymore, but glad I did tonight, really touching episode, depression and suicide awareness is always welcomed"
396,"accidents, suicide, security, demands, sabotage, depression, etc. Human vs robots cost in balance"
397,"Just more exports of crippling depression, I'm afraid."
398,"You aren't worthless, you are priceless You are important to someone and they'd miss you if you were gone #depression #suicide #weallcare"
399,"Wow! Why haven't I been stoned every day!!  Oh, right, the extrem depression from abuse, and the drug addiction, and injuries, and disease.."
400,lord forgive me i know my fears and depression is caused by not having enough patience ! #itsyourtimenotmine
401,"The second brother's story is so sad, he brought a girl back to life to marry her but the depression of it all drove him insane. Ith peak."
402,Hard to watch @bbceastenders tonight raising awareness of male depression and suicide. #TimetoTalk
403,Holiday depression is real   I wish we had suicide helplines in Nigeria
404,"There are already too many obstacles to producing art: uncertainty, doubt, fear, shame, depression. No one needs more obstacles. No one."
405,I've lost my ability to care about people and bond with anyone and it makese sad #ASD #aspergers #depression
406,"@danboy My dad committed suicide 6 mths ago(depression),i wish he & us knew help was there & available 😢well done 4 playing the part so well"
407,"Your healing crystal is: Lepiodolite  for: Eases anxiety, depression, balances hormones."
408,"Positives to anti-anxiety, anti-depression meds: I can /function/ Negatives: So can my brain and man does it have some catching up to do"
409,"Like if there's a 'god' he's got some fucking explaining to do about how he lets depression , anxiety and suicide exist. Like why tf"
410,@danboy thank you for bringing #malesuicide #depression to the fore. Tremendous acting - helps so much to raise awareness.
411,"@KatiMorton eating disorder, depression, c-ptsd (hypervigilance, panic attacks), anxiety and derealization. idk what to do, it's all getting"
412,"honestly how do you tell people you want to die without worrying anyone? or i mean, causing panic? my depression is p bad + all that jazz"
413,"I do believe, and i struggle everyday with the demons of anxiety / depression that try 2 steal my believe! #GodIsReal ⛪⛪"
414,"*insert depression, anxiety and self esteem issues here*"
415,"Yes, I can confirm that a deep depression interspersed with anxiety and the occasional sense of worthlessness is the way to go."
416,"i love turning my despair and depression into fake gold stars, here online the digital web"
417,".@danboy can ACT! Major, major kudos for taking such a sensitive subject like male depression & suicide and doing it justice. 🙏"
418,EastEnders actor Danny-Boy Hatchard talks about his role as a young man whose depression has pushed him to the brink of suicide.
419,"depression is when you don’t really care about anything. anxiety is when you care too much, and over think everything, having both is hell"
420,depression and anxiety currently holding me back
421,"""my mom might’ve raised an emotionally vacant child with severe depression and anxiety but she didn’t raise a quitter"" always relatable."
422,#alcoholawareness Alcohol and mental health anxiety stress depression suicides Cancers you name it-Bad choice-Lose the Booze
423,sadness destroys my soul-im falling into a bottomless whole-im empty inside can't find no smile-this severe depression the endless mile
424,I've been in the bed all day sad&moody Ig today is the day my depression wants to take over hopefully I'll be better tomorrow
425,PTSD is a very under recognized thing and it makes me sad that people think depression is just something they can turn on and off
426,self harm and depression suicide etc in one episode powerful stuff
427,Wishing 2k17 with less depression anxiety stress overthinking insecurity
428,"depression is when you don’t really care about anything. anxiety is when you care too much, and over think everything, having both is hell"""
429,I'm sorry I made you worry about me because I can't control my depression.
430,"depression is when you don’t really care about anything. anxiety is when you care too much, and over think everything, having both is hell"
431,@hinx This whole situation is triggering my anxiety and depression so hard that I'm about to demand pics in space pants/less
432,I've sadly realized I can't empathize with people who find being suicidal or suicide as an abnormal/concerning thing or depression; cripplin
433,"- - No more attachment, no more depression or anxiety bullshit. No more feelings and shit. It doesn't help anything and just makes it bad."
434,My Nana and I are finally opening up to each other and bonding - because we're both on meds for depression/anxiety. weeee 🙃 #whateven
435,if my man is even half as loyal to me as my anxiety and depression are we'll be okay
436,"Death in my family put a tremendous strain on every ounce of my being, and I already suffered from depression and anxiety. Not cool to say"
437,"I was left pretty heartbroken, have continued my battle with severe depression/anxiety, & realized there's a lot that's toxic in my life."
438,@danboy The Story line currently with depression and suicide is so important. It's difficult to understand if you haven't been through it
439,most realistic portrayal I have seen of depression I suffer depression & been on brink of suicide I agree he deserves award xx
440,great Interview depression in males is real I had a friend who suffered but was ashamed to ask for help sadly he took his own life😢😢
441,"""Our beliefs about ourselves are all made up, so it's a good idea to make some good ones up."" - Lynn Robinson #depression #anxiety"
442,"Im glad you did man! Genuinely. For me I made career strides, but also  got divorced, suffered anxiety and depression etc -"
443,Not having enough sex can put you at risk of anxiety paranoia and depression.
444,the depression is stronk today :') I have a lot of pre work anxiety
445,"Optimist people are not just cheerful people, they have better relationships and have to deal with less anxiety, stress & depression."
446,you actually described why ppl move from serious anxiety episodes to extreme depression. Survival response.
447,I struggled with a lot of depression and anxiety this semester so I'm proud of my 3.1 GPA!
448,Thanks for making me forget about my depression and anxiety for a few minutes everyday. Love your videos! Keep doing good!💚
449,"yes it does, I struggled with depression and anxiety and still do now after massive break down 👎 #MentalHealthMatters"
450,"Reminder: telling people with anxiety and depression that it's ""all in your head"" is like telling an asthmatic it's ""all in your lungs""."
451,The depression symptoms have stopped but now the anxiety symptoms are kicking in!
452,Favorite travel games in 2016: Is it jetlag or depression? And Is it jetlag or anxiety/insomnia?
453,"Really impressed with Eastenders trying to bring attention to male depression. Over 70% of suicides in the UK are male, it's unacceptable."
454,i feel really ill      in like a panickihg depression way ??????
455,Gratitude reduces the risk of anxiety & depression. #iammentallyaware #iambipolar
456,Place always looks a little bare & lonely after Christmas. Wonder if the stats on depression increase after Christmas?
457,the only threesome i've ever had was with anxiety and depression
458,"summary: 2016 have been one of the worst and most eventful year in my life. my ""depression"" (i'm not diagnosed cause i'm afraid to test me)>"
459,"@bbceastenders really sensitive portrail of depression so many young men stay silent out of fear of not being ""real"" men #dontbesilent"
460,I don't have anxiety. I don't have depression. I'm just really sad.
461,U know it's super hard for someone to open up about having depression or anxiety
462,I will leave you to your cesspool of depression and despair. 😘
463,Thank God for yoga. Yoga has helped so much with depression and anxiety.
464,#Financialproblems #isolation #depression - don't struggle alone. @CALL_247 0800 132737 #247support in Wales  jer
465,Hey there I'm in this new band called JINX the demo is done and will be out very soon. FFO: Irish whiskey and depression/anxiety stay tuned
466,"My depression and anxiety understand that when we have political differences but they can't really get, ""Yeah, I just don't like her."""
467,"glad he didn't jump, the car park lady would need therapy after that.  Well done Eastenders for covering #suicide #depression"
468,Massive respect to @danboy for doing such a great job on this very important storyline about depression and male suicide #EastEnders
469,"Lee is absolutely breaking my heart omg, this is so sad to watch, I don't think people realise how much depression affects and takes over"
470,"This is how suicide, depression, dropping out of school and permanent damage to someone's life happens."
471,"I find watching stuff when someone shows depression and suicide hard , it personally hits me @danboy portrays it all brilliantly 🙌🏻"
472,I'd say well done to @bbceastenders for tackling male depression/suicide. Lee's storyline is reality for many men. #EastEnders
473,"#eastenders How sad for Lee. I'd like to see the 'man up' and 'jump' brigade go through depression, might change their opinion."
474,The amount of people on Twitter who think Lee's depression and suicide is a laughing matter shock me. #EastEnders
475,Well done to #eastenders for how they're handling Lee's depression and suicide storyline 💝
476,"To be fair, I don't really think the issue of male depression/suicide is unrealistic"
477,"Sobbing my eyes out at #eastenders depression is a horrible thing for anyone to go through,heartbreaking feeling that you're all alone 💔😥💔"
478,"(2/2) Get better. I had depression and anxiety myself. It is zero fun. But it does make us stronger, but I hope you best."
479,Well done @bbceastenders on tackling depression and suicide in men. Needs to be talked about more.
480,Leave that idea that anxiety and depression can be easily controlled! Leave that idea with all the other bs ideas in 2016
481,what does anxiety + depression feel like
482,Wonderful performance by @danboy depression and suicide in young men is often ignored well done to @bbceastenders for this storyline. ❤
483,#ThankYouDNP for helping me win a battle against suicide and depression
484,A few days they were doing jokes about Dot and her pussy and now it's BAM suicide and depression. #Eastenders nails it.
485,"Cuddling literally kills depression, relieves anxiety, & strengthens the immune system."
486,"Cuddling literally kills depression, relieves anxiety, & strengthens the immune system."
487,"Thanks man. Can't figure out of this was a panic attack or the cover for underlying depression to go: ""Fuck you"""
488,"#KnwThat: Cuddling literally kills depression, relieves anxiety, & strengthens the immune system."
489,"According to #WHO study, #anxiety & #depression alone cost the global #economy $1 trillion per year & the numbers are going up."
490,go drown in your sadness and depression
491,"Cuddling literally kills depression, relieves anxiety, & strengthens the immune system. 😇"
492,"“@TheKnowledge: Cuddling literally kills depression, relieves anxiety, & strengthens the immune system.”"
493,"Since I've stopped my nicotine and coffee usage for a month, my crippling anxiety and depression episodes have reduced significantly. Amen"
494,"I wrestle with depression all too frequently and since the breakin at my rental house, have taken on anxiety. Ugh."
495,"As an introvert I like to be alone, but as a sufferer of depression, being alone destroys me emotionally 🆗🆒🤷🏼‍♀️"
496,"I remember when auntie told me ""you are 19. 19 year olds don't have real problems"". Meanwhile I was beating an ED, anxiety and depression."
497,"she also canceled it because she got depression, anxiety and stress. How is that nonexistent?"
498,"As someone who has battled depression since high school, I felt really sad to see two young black people close to my age lose their fights."
499,"For some of us, being around their family is a big trigger for anxiety and depression"
500,Know someone who struggles w #depression? Give them #StillLife by @GillianMarchenk. A beautiful book by a brave & honest author.
501,"I know my tweets are the worst rn, but I'm in pain & stressed & depression is taking advantage of that. I am nothing but struggle"
502,"The holidays can bring uninvited guests: anxiety, depression, stress. Get mental health texts from @medlineplus: text MP Health to 468311"
503,"Oh and yoga, which honestly saved my life. And makeup because those videos calm my anxiety and help my depression."
504,Went to a conference recently & found out depression/sadness can be caused by inflammation alone. I was shocked. 😲
505,"But in all that misery, sadness, depression and PAIN... I am very thankful for people who encouraged me."
506,"I know 😔 I still haven't found any books that get anxiety and depression spot on, I'm still searching"
507,"Watched another friendship possibly crumble, had another panic attack in LA, alone, in public, crippling depression and anxiety"
508,Mixed that with all types of anxiety & depression...then September came and my plans to move dissolved so badly
509,"Self-diagnosed ADD, bipolar, depression, panic disorder, PTSD, schizophrenia, Tourrette's & obviously, mental-health-specific hypochondria."
510,"Having negative friends is linked to depression, lowered self esteem, insomnia and anxiety. Positive friends promote good overall health."
511,"Having negative friends is linked to depression, lowered self esteem, insomnia and anxiety. Positive friends promote good overall health."
512,"The problem with being tired: unsure if it's anxiety-induced emotional exhaustion, depression-induced lack of energy, or actual sleep dep :|"
513,"i finally got the help i needed to begin overcoming my depression/anxiety, vastly improved musically, repaired relationships..."
514,"#BellLetsTalk I'm a survivor of depression, anxiety, and PTSD. End the stigma of #mentalhealth #MentalHealthMatters"
515,& since I have gotten it under control my depression/anxiety is better(they are both oddly enough symptoms of thyroid issues)
516,"I wish exercise and more sleep were the cure-all for #depression and #anxiety , alas, meds alter brain chemistry already wonky!"
517,"@sarahaines Hey Sara, your very honest account of your exp. w/#anxiety #depression just helped a ton of viewers today. #endstigma @ABC"
518,"The depression had me going ""You will never achieve anything, I don't know why you try"". The anxiety was screaming ""DO SOMETHING!"""
519,I have that disgusting cocktail of anxiety/depression and I was cold turkey off my meds for six weeks. It was bad. Don't follow that example
520,"mi padre: halaaaa, por fin sales de la cama, que llevas vagueando toda la semana  it's called depression and anxiety dad shut the fuck up"
521,"AFAIK, Swedish rates for suicide/depression still high for trans."
522,"he basically told me ""your depression and anxiety are your fault"" and I was like ........."
523,"I spiral down into the depths of depression, living my death alone in utter despair."
524,"I got diagnosed with severe clinic depression, anxiety and OCD. It is most likely because it's in my family"
525,"Even if it is just a joke, it's concerning how much we joke about depression and death when people actually struggle with those things"
526,"@Gokanaru This NSQ was deep and interesting,I hope your not going through depression....Your gonna Die alone...."
527,"Waking up at this time, thinking about depression, suicide and death. It's s just after my birthday, why am I bother to think of it."
528,"RUMINATING has been linked to depression, anxiety, PTSD, binge-drinking and eating.  STOP reliving the past. #stress #depression"
529,"For many people who suffer from anxiety & depression it's a safe way to reach out..Not that it's the best, but some is good"
530,To anyone that was struggling w/ depression or suicide this year: I'm so glad ur still w/ us. I am so proud of u.
531,depression and anxiety are way more complicated than you think. It's not just being sad and worrying. ano ba
532,"Less vacation than last year is, more family time, depression&anxiety, got warded twice, getting stronger&better; a fresh start #2016"
533,i've struggled with depression for 95 years and lately that's manifested itself into an eating disorder lolololol
534,"Yes I still have depression and anxiety, but they no longer have me"
535,I have no videos on my channel because I'm a lazy shit but please subscribe because I am lonely and need numbers to cope with my depression.
536,"it's always the same for me, i have iron deficiency anemia, malabsorption, depression and anxiety :'-)"
537,I've decided that the best cure for depression or general anxiety at life is just a belly full of burrito
538,#ThankYouDNP for making me smile and laugh on those anxiety and depression filled nights @danisnotonfire @AmazingPhil
539,The sadness will come back from depression. #pessimistic
540,#depression is a total liar! And #anxiety is a bitch! You are wonderful and amazing and you help others in so many ways! 💚💛
541,Does anyone have tips when dealing with constant anxiety or depression? 😔
542,"I want to create a community for people dealing with depression, abuse and other issues to come together and find a sense of happiness."
543,@jagexsupport They told him he’d just had to cope with the ban and move on but this just caused him more depression and grief. 6/8
544,"Bacon and sausages cause cancer. Yeah, and lentils and rice cakes cause depression, anxiety, anger and violence.  #nationalbaconday"
545,Depression is real; Not all depression leads to suicide; Take time to notice the signs of depression; Take time to listen.
546,"I think life was harder w depression than w anxiety, for me. At least I felt something, even if it was ever impending failure!"
547,"Just realized that the last few years I was probs using caffeine, which ended up giving me anxiety, to combat depression."
548,over thinking leads to depression because over thinking causes you to get sad about things that havent happened (yet)
549,Can happen when u don't get enough sun. Low D related to depression. Cloudier places often have higher suicide rates.
550,They tell you to use drugs for symptoms of depression or anxiety but may have side effects up to 10x worse causing harm to our wellbeing.
551,Lord knows everyones favourite dig at me was that I was 'attention seeking' when I was actually suffering from anxiety/depression from ptsd
552,"in 2017 HATS OFF to those guys who ruined my TL posting about their depression,anxiety,sAd LyF.May this year brings happiness to their lives"
553,"I'm an alcoholic, drug abuser, ball of anxiety and depression, and still can't comprehend the level of ignorance with this little girl 😒"
554,It sucks to go from such high levels of happiness to the deepest levels of sadness and depression...
555,"Unemployed, lonely, suffering with depression and suicidal thoughts"
556,"All stress, anxiety and depression, is caused when we are living to please others"
557,how to over come anxiety and depression. I know you already did a video sort of like that but I'm really struggling right now
558,Being true to your own nature is the best defense against depression and anxiety. You can't be you for other people.
559,"it used to be anxiety, now depression"
560,no! i'm fine! please don't worry about me! my crippling depression and anxiety is absolutely NOT eating me alive!! 🙂
561,"I don't know how anxiety feels.. depression, maybe."
562,RELAX! Researchers also have found that exercise is likely to reduce depression and anxiety helping you to better manage stress
563,@teaandbooks thanks for the endorsement!  This is bringing #freedom to so many that fight #anxiety and #depression!
564,"Everyone talking about the holiday weight they gained and I'm like, ""Welcome to my year long journey of anxiety and depression."""
565,"I don't care about all the hurt, anger, & depression you went thru in your last relationship. Don't bring all of that to THIS relationship"
566,"Heavy metals toxicity can be responsible for depression, anxiety, even miscarriage"
567,I hate it how people will expect you to accept their anxiety or depression but when your BPD shows symptoms they're so non accepting.
568,With Inauguration nearing my emotions are bet anger & depression with my focus onJan 21 mil woman march & boycotting anyting Trump 4next4yrs
569,How serious of a problem is depression/suicide among your teenage friends ?
570,"if men don't cry, they bottle their emotions up, which becomes depression, then anger then rage, esp towards women."
571,"#InHonourOfCarrie I suffer long time from depression & anxiety. I also suffer from stress related bruxism, and stress eating."
572,"maybe one day i'll be truly happy. till then tune into depression, anxiety and relationship problems😭"
573,"Someone with chronic pain or depression or anxiety isn't just going to get up and do anything, let alone work out."
574,"No matter how your heart is grieving, just keep believing - Anonymous #quote #mentalhealth #psychology #depression #anxiety #inspiration"
575,"*Often, the consequences of psychological abuse leads to trauma or a chronic case of depression. #DomesticViolenceInNigeria"
576,Rain drop   Drop top  I wish my crippling depression and anxiety would just stop   😅😬🙄😂
577,Anyone who has actually been that sad can tell you that there's nothing beautiful or literary or mysterious about depression.
578,"finally admitting you got it wrong in Iraq, that denial stage was looong, now expect anger, bargaining, depression and acceptance"
579,I've told y'all I'm developing a study on the episode Mindful Education and teaching mindfulness skills for anxiety/depression right?
580,"i have anxiety, panic disorder, depression, bipolar 2, anorexia  and a selective eating disorder."
581,the saddest people try their best to make others happy. they know the feeling of pain and depression. they don't want anyone to feel that..
582,"Okay y'all: depression and anxiety are not romantic!!! It's not some single tear and move on bs, it's real life. All that tumblr stuff about"
583,2016 will be known as the year of sadness and depression
584,"""Cuddling literally kills depression, relieves anxiety, and strengthens the immune system."""
585,YOI honestly helped me through a rough mental patch. It helped me see characters I admired with depression and anxiety and they perservered
586,2016 is the worst year of my life so far like everything went down to hell. I've faced with depression and anxiety since this year started.
587,"So in the last months I've been alone, I've gotten a lot better at doing household chores (which can be a task with my depression) but (1/2)"
588,The only thing that can make depression permanent is suicide
589,"Realize,all the depression you see in the world right now,the anxiety,the traumatic stress, is a direct result of what is being handed down."
590,@EthanDolan and @GraysonDolan changed my life because when i was 12 i was going thru some depression and i was thinking of commiting suicide
591,"#FF (👊🏻) @TWLOHA They are dedicated in giving hope & finding help for people struggling w/depression, addiction, self-injury and suicide."
592,sometimes I get just disgusted with myself when I hear about people with anxiety/depression who are able to persevere and succeed
593,do not judge others with depression  do not judge others with anxiety  do not judge others with mental illness  do not judge others at all
594,"2/2 I finally found the right mental health treatment for depression, anxiety, & obsessive-compulsive disorder. So, honestly, thanks 2016"
595,"Shake off depression, fear, doubt, anxiety. God is love and that's where you come from. Take your rightful place."
596,Awareness of your thought patterns are your most powerful tool in the fight against #anxiety and/or #depression
597,"@joeykidney Hey, I'm struggling with depression and anxiety and I was wondering if you could help me?? ♡"
598,My New Year's resolution is to stop being a panic and depression-ridden fuck and to stop hating myself so much
599,"When I submitted them all for review for monetization, the depression and consent videos were approved! The abuser videos not. That’s fair."
600,"Last night, as an experiment, I tried monetizing my depression, consent, and calling out abusers videos (3 diff types not monetized)…"
601,"#InHonorOfCarrie let's speak out for mental health together. I have anxiety, depression, and when I'm really in a bad way, agoraphobia."
602,"#peoplewhomademyyear2016 @cj153_teamblue - He makes me happy, when i'm sad. I remember, when he helped me with my depression. Thanks bro!"
603,I love it when my depression suddenly strikes like Hi there friendo enjoy having no energy or motivation and feeling sad all the time 😉😉
604,I've tried pretty much every anxiety and depression med. they barely work. I hope in February I can get the right diagnosis 😰
605,When ur filling out the symptoms sheet at the dr. And you gotta SMASH THAT MF BUTTON on depression/anxiety
606,"@SKARZONSKINZ Remember I on-set depression with telling you to watch ""The Theory of Everything."" IT'S SO GOOD! Oh no wait, it's rly sad. LOL"
607,"Cuddling literally kills depression, relieves anxiety, and strengthens the immune system."
608,I'm exhausted. Dealing w/ the emotions of depression. Jealousy. Happiness. Stress. Being worried. Annoyance. Paranoia cos of some strangers.
609,"@breakaway_fit I suffer with anxiety and depression but truly want to do something, for me, so I want to do the Leeds 10k :) 1/2"
610,"An untransformed mind will always translate into thoughts of defeat, anxiety, depression, and darkness."
611,"Depression isn't always suicide notes and pill bottles. sometimes, it's all smiles and fake laughter depression isn't always easy to notice."
612,"I have depression, bipolar, anxiety, and schizophrenia. I never have actually had the chance to know what its like to be happy."
613,Proud of people sharing their struggles with depression and mental health issues in honor of Carrie Fisher.
614,"state of anxiety, depression and denial."
615,I got a new job and put on medication for depression and anger. Oh but I did become an Uncle
616,I e been in depression/anxiety meds for like 20 shit and the weird shit I do is me
617,People need to know that depression isn't some pretty girl with a beautiful face sitting alone staring at the sunset with tears in her eyes.
618,"Amidst the anxiety, depression, and bleakness of this year I've managed to stay sober for the past two months and I'm truly proud of that"
619,I know what i am going through. I thought it is a depression. Actually is not. I am just alone and lonely.
620,The thing that makes me want to kill myself the most is not depression or anxiety but the misophonia
621,"Self care is drinking 5 shots of espresso so you feel like doing something despite the depression, only to give yourself an anxiety attack."
622,"#InHonorOfCarrie I have bipolar disorder 2, depression and anxiety. Thank you for helping to end the stigma #mentalhealth"
623,Living with depression and anxiety is having a deathly fear of failure with no energy to begin on a path to success
624,"my people who are struggling...whether it be from depression, addiction, anxiety,..."
625,"I don't understand why people put a stigma on depression, anxiety, etc. Stigmas make ppl not want to talk, which causes even more problems"
626,"the only illnesses I suffer from are anxiety and depression, I'm not crazy lol just also not ignorant."
627,"2016 has been ass. Fucked up relationships. Lost so many jobs, got robbed, my mom passed away, anxiety and depression at its worst."
628,"if you have never gone through depression, trauma, anxiety, etc pls stop belittling those who suffered from those"
629,Most of us have dealt with some level of depression or anxiety at some point in their life. If you haven't keep living #TheView
630,... meaning their levels of depression/anxiety are at typical levels people deal with everyday.
631,I'm in a threesome with anxiety and depression
632,If you suffer from depression or anxiety best thing to do is put the phone down. We're only human. Change starts within you.
633,as someone with a history of anxiety/depression I couldn't agree more. It not something to duck behind to be a selfish jerk
634,"I think Rousey might be struggling mentally from the loss. Talk of suicide, depression, avoiding people, etc. Wonder if she recovered yet"
635,There are plenty of people who manage their anxiety and/or depression without being a deplorable human being.
636,(I used to deal w depression/anxiety and I was very self depreciating during the time I'd written that)
637,"""Christmas depression is about yesterday,anxiety's about tomorrow.Todays expectation is simply to live each day like it's your last""McGregor"
638,"You know what drives me absolutely batshit? When people claim the reasons for their harassment is anxiety, depression, or both."
639,Sorry I struggle with anxiety and depression and sorry it's a fucking burden on everyone.
640,"living alone is not depression city...unless you can't afford to live alone, then it's depressing"
641,"Having negative friends is linked to depression, lowered self esteem, insomnia and anxiety. Positive friends promote good overall health."
642,If you kept up with last night that's basically all the depression and sadness I accumulated throughout this year which wasn't a lot really.
643,All these Stars who say they battling depression they have everything yet have this struggle yet folk who have nothing (cont)
644,why can't my depression just leave me alone I'm so sick of it
645,if you have depression or anxiety . just remember you're strong enough to overcome always..... depression kicks my ass but I'm still alive
646,do you have treatment for your depression and anxiety?
647,I'm tired of doing this to myself. I'm tired of the depression and anxiety all the time.
648,"Laughter relieves stress, anxiety, depression"
649,"RT classifiedfact: The average high school & college student experiences a 70% decrease in stress, anxiety and depression during summer vac…"
650,Facebook on this day has shown me that I've been experiencing anxiety/depression/add grievances for like ten years almost.
651,How the hell does a 9 year old get diagnosed with depression and anxiety ????????
652,"So all of a sudden everyone has ""depression"" and ""anxiety"""
653,CBD has been proven to improve anxiety and depression within an hour of taking it <3 please get in touch for organic CBD oil <3
654,When you think the depression might be going away but then you wake up feeling super sad again
655,"""I suffer from bipolar depression, and it makes me sad"" hmm"
656,"As someone who struggles with depression, those idiots don't have a clue, keep up the good work"
657,Thoughts with Asad who's clinically unwell 🤒 depression is a dreadful disease. @Being_Asad_ #prayforasad amen 🙏🏽😭😭
658,Dear anxiety and depression: SCREW YOU!
659,My anxiety and depression literally controls every aspect of my life and I hate it so much. 😕
660,Note to know-it-alls who haven't had severe depression/anxiety/PTSD/mental-illness: You can't bully or lecture it away. Fuck You very much.
661,It can also make people feel not alone. That helps with anxiety/depression too. Two sides to the coin and all that.
662,I should have stayed and not left her. I should've known what depression and anxiety felt like. I shouldn't just let her go.
663,"#ThingsToLeaveIn2016 Making depression, anxiety, etc. sexy. Like no those are real medical conditions stop that!"
664,Good news everybody! Made it until the morning of 12/30 this year before the annual New Year/end-of-holiday anxiety/depression bomb went off
665,I didn't even do it on purpose. I was experiencing depression for the first time & didn't see the purpose of life let alone friends
666,"If you have depression, you are not alone. #Depression"
667,How long can I casually pretend my constant exhaustion isn't stemmed from depression and anxiety
668,"Even if what #anxiety says is partially true, its nature is to lie: about our strength, coping ability, resilience... #recovery #depression"
669,"do not be afraid to talk to that lonely boy with the ponytail... with the blonde hair, depression & cute girl... he just mmight be... angel"
670,wow the new year period is always so fun i always feel great and positive never any depression or anxiety that's been repressed for weeks !
671,The afflicted and troubled conscience has no cure for depression unless it takes hold of the forgiveness of sins by grace. -Martin Luther
672,"Optimist people are not just cheerful people, they have better relationships and have to deal with less anxiety, stress & depression."
673,"when dat depression hits and u gotta add ""lmao"" to ur sadness so ppl won't realize how badly u wanna actually kys lmao"
674,but at the same time that can make it difficult to manage chronic depression and anxiety  I feel I've learned.
675,I might fall ito a deep sadness after that (not to say depression)
676,"I have a rope, I have depression ah suicide."
